CashFlow,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,category
Cash in Hand,126420.1,100171.86,107230.15,61383.12,228070.83,207503.47,208564.59,138884.33,181442.85,153606.41,198937.25,133550,I
Receipts,44454.21,95472.16,57619.57,271321.82,91083.65,109435.53,44585.29,153038.06,88277.65,153174.3,60593.36,163143.9,I
Other Income,14600,1490,0.56,594.13,130.85,2232,438.97,972.38,0,737.03,2291.3,0,I
Total Cash,185474.31,197134.02,164850.28,333299.07,319285.33,319171,253588.86,292894.77,269720.49,307517.74,261821.91,296693.9,I
Payroll Expenses,49284.18,47475.08,52668.72,64030.54,62445.13,62301.46,64548.26,61925.28,61551.59,63943.29,86315.44,58026,E
Contractor Expenses,1513.73,8732.59,5533.85,6597.51,7475.34,7243.77,5931.54,7387.38,4173.84,4316.9,5214.13,6721,E
Operating Expenses,26863.99,28799.33,24169.67,34719.83,37748.92,37859.27,39553.57,36605.26,28226,28783.36,29703.12,29784,E
Capital Expenes,0,0,706.68,146.28,713,0,1085,0,2803.52,0,0,0,E
Other Expenes,9613.65,6317.14,21584.02,1205.5,3399.48,3201.91,4476.43,4363.41,17351,12828.74,7901.05,12877,E
Total Expenses,87275.54,91324.14,104662.94,106699.66,111781.86,110606.41,115594.81,110281.33,114105.94,109872.29,129133.75,107408,E
Ending Cash,98198.76,105809.88,60187.34,226599.41,207503.47,208564.59,137994.05,182613.45,155614.55,197645.45,132688.16,189285.9,E
