expenses,date,jan,feb,mar,apr,may,jun,jul,aug, sep ,oct,nov,dec,total
Monthly Misc exp,03-04-2022,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,30000.00
Office Supplies,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,715.00,56.00,0.00,0.00,0.00,771.00
Graphics,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3200.00,56.00,0.00,0.00,0.00,3256.00
TV Delivery Tips,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,1561.00,0.00,0.00,0.00,1661.00
Office Expenses,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2411.00,340.00,0.00,0.00,0.00,2751.00
Maid Salary,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1420.00,455.00,0.00,0.00,0.00,1875.00
Office Supplies,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,56.00,0.00,0.00,0.00,112.00
AC Technician,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2500.00,500.00,0.00,0.00,0.00,3000.00
Sofa Delivery Tips,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,600.00,0.00,0.00,0.00,700.00
Vijetha,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,774.00,84.00,0.00,0.00,0.00,858.00
Kitsons,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,150.00,0.00,0.00,0.00,170.00
Sanitizer,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,1715.00,0.00,0.00,0.00,1765.00
Office 365 S/W,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,974.00,58.00,0.00,0.00,0.00,1032.00
Stamp Pad,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,200.00,0.00,0.00,0.00,245.00
Plants,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.00,58.00,0.00,0.00,0.00,1608.00
Boston,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,58.00,0.00,0.00,0.00,103.00
Boston,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,158.00,0.00,0.00,0.00,188.00
Milk,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,329.00,0.00,0.00,0.00,385.00
Puja Items,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,361.00,0.00,0.00,0.00,511.00
Water Can,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,361.00,0.00,0.00,0.00,381.00
Vijetha,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,445.00,0.00,0.00,0.00,645.00
Graphics,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,100.00,0.00,0.00,0.00,700.00
Milk,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,60.00,0.00,0.00,0.00,116.00
Water Can,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,102.00,0.00,0.00,0.00,122.00
Graphics,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,85.00,0.00,0.00,0.00,385.00
Puja Items,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,437.00,0.00,0.00,0.00,515.00
Milk,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,22.00,0.00,0.00,0.00,78.00
New sims & recharge,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1050.00,4500.00,0.00,0.00,0.00,5550.00
Workshop,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1505.00,0.00,0.00,0.00,0.00,1505.00
Delivery Tips,00-01-1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00
